##Options: Namespace(fnames='fns.txt', k=[31], nrepeat=2, nthreads=[268], sketchsize=[4096])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	4096	8	268	6314.065512765199	26441.935831820592
Bindash-8	31	4096	8	268	5733.4826218206435	1593.007806899026
Bindash-4	31	4096	4	268	5776.906318077818	1608.68482763879
Bindash-2	31	4096	2	268	5747.166541812941	1616.4187499396503
Bindash-1	31	4096	1	268	5764.464098419994	1618.5983777549118
Bindash-0.5	31	4096	0.5	268	5734.610214062035	1623.0795582979918
Dashing1-bin	31	4096	1	268	1532.9933444913477	15088.420357303694
2.0902767349035
Dashing1-txt	31	4096	1	268	393.65153464861214	590.9545665569603
D2OP-bin-8	31	4096	8	268	623.3566095419228	53.85656553506851
D2OP-bin-4	31	4096	4	268	639.5303088054061	41.95002302341163
D2OP-bin-2	31	4096	2	268	642.8931581005454	28.375062320381403
D2OP-bin-1	31	4096	1	268	641.722946671769	26.076716855168343
D2OP-bin-0.5	31	4096	0.5	268	637.7878826484084	31.96216130256653
D2FSS-bin-8	31	4096	8	268	644.1196487098932	53.85512815415859
D2FSS-bin-4	31	4096	4	268	691.9551434703171	41.20297946408391
D2FSS-bin-2	31	4096	2	268	644.2345390021801	28.239816876128316
D2FSS-bin-1	31	4096	1	268	732.5387301705778	25.933518700301647
D2FSS-bin-0.5	31	4096	0.5	268	621.7788344882429	31.341536473482847
