##Options: Namespace(fnames='fns.txt', k=[31], nrepeat=2, nthreads=[96], sketchsize=[1024])
##Results for fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	1024	8	96	2279.2951378505677	3600.2530635483563
Bindash-8	31	1024	8	96	2467.784151274711	211.83472321927547
Bindash-4	31	1024	4	96	2480.0642285291106	206.75088578090072
Bindash-2	31	1024	2	96	2466.4505924209952	209.73455735854805
Bindash-1	31	1024	1	96	2415.09613693133	206.97231160663068
Bindash-0.5	31	1024	0.5	96	2432.036835471168	213.09728821739554
Dashing1-bin	31	1024	1	96	1255.708958843723	758.6138364020735
Dashing1-txt	31	1024	1	96	489.09878199175	2884.7741670478135
D2OP-bin-8	31	1024	8	96	785.4444420598447	159.03514670580626
D2OP-bin-4	31	1024	4	96	932.7318843733519	182.70561332069337
D2OP-bin-2	31	1024	2	96	1131.1781711224467	182.01923581399024
D2OP-bin-1	31	1024	1	96	1330.6705434769392	160.222054021433
D2OP-bin-0.5	31	1024	0.5	96	1511.2729900944978	140.81778188981116
D2FSS-bin-8	31	1024	8	96	1930.814604561776	348.7857789620757
D2FSS-bin-4	31	1024	4	96	2097.7495503872633	276.0893473215401
D2FSS-bin-2	31	1024	2	96	2263.436224080622	185.48288104869425
D2FSS-bin-1	31	1024	1	96	2419.4566551595926	152.3024206031114
D2FSS-bin-0.5	31	1024	0.5	96	2588.319319235161	136.18700480647385
D2OP-txt-8	31	1024	8	96	2558.877528592944	494.0708935931325
D2OP-txt-4	31	1024	4	96	2697.997220011428	336.43619302101433
D2OP-txt-2	31	1024	2	96	2856.5537421032786	300.6062382571399
D2OP-txt-1	31	1024	1	96	3006.3836674652994	279.9352859072387
D2OP-txt-0.5	31	1024	0.5	96	3084.230766028166	294.12400268390775
D2FSS-txt-8	31	1024	8	96	2839.518939776346	355.07931780815125
D2FSS-txt-4	31	1024	4	96	3463.090462692082	2378.602921307087
D2FSS-txt-2	31	1024	2	96	3665.232410956174	519.4172259476036
D2FSS-txt-1	31	1024	1	96	3616.9607226252556	530.2805352341384
D2FSS-txt-0.5	31	1024	0.5	96	994.1420388687402	246.45095834322274
Mash	31	16384	8	96	8514.203919768333	71330.09399712086
Mash	31	2048	8	96	2350.2489522648975	5063.4335841862485
Bindash-8	31	2048	8	96	2494.670150739141	294.68497750815004
Bindash-4	31	2048	4	96	2487.342603556812	306.50941668171436
Bindash-2	31	2048	2	96	2440.251578146592	308.8772746762261
Bindash-1	31	2048	1	96	2424.775994163938	300.0452658170834
Bindash-0.5	31	2048	0.5	96	2452.971939381212	299.21544819604605
Dashing1-bin	31	2048	1	96	504.93009521998465	1117.2248442061245
Dashing1-txt	31	2048	1	96	614.9891619943082	2965.4970457348973
D2OP-bin-8	31	2048	8	96	813.5118451444432	300.3899114066735
D2OP-bin-4	31	2048	4	96	974.4936934718862	347.8722590887919
D2OP-bin-2	31	2048	2	96	1171.7845109673217	262.1078716032207
D2OP-bin-1	31	2048	1	96	1425.7770860353485	199.44991847500205
D2OP-bin-0.5	31	2048	0.5	96	1605.0295863002539	164.00276619195938
D2FSS-bin-8	31	2048	8	96	1975.010062164627	714.4937367280945
D2FSS-bin-4	31	2048	4	96	2197.872291754	532.8832837920636
D2FSS-bin-2	31	2048	2	96	2344.895329615101	267.09705514553934
D2FSS-bin-1	31	2048	1	96	2504.5268836747855	194.15251175127923
D2FSS-bin-0.5	31	2048	0.5	96	2661.7290529487655	159.65559511631727
D2OP-txt-8	31	2048	8	96	2612.9269361970946	865.4295666022226
D2OP-txt-4	31	2048	4	96	2727.0890650162473	637.8125092266127
D2OP-txt-2	31	2048	2	96	2916.4373266110197	371.30262515693903
D2OP-txt-1	31	2048	1	96	3042.475167086348	855.2563798390329
D2OP-txt-0.5	31	2048	0.5	96	2009.7666756184772	377.41672691423446
D2FSS-txt-8	31	2048	8	96	2516.6150697888806	1890.3913748208433
D2FSS-txt-4	31	2048	4	96	2992.0664066011086	605.7892613718286
D2FSS-txt-2	31	2048	2	96	2789.5594739811495	780.6182480044663
D2FSS-txt-1	31	2048	1	96	1724.8087307941169	349.20256375335157
D2FSS-txt-0.5	31	2048	0.5	96	1055.4377717385069	281.17259072791785
Mash	31	256	8	96	8124.3617478609085	12960.49853515625
Bindash-8	31	256	8	96	10127.282394170761	528.5358598232269
Bindash-4	31	256	4	96	10144.3415954113	531.0199353694916
Bindash-2	31	256	2	96	10112.152101397514	530.8096015453339
Bindash-1	31	256	1	96	10230.998218178749	532.668469786644
Bindash-0.5	31	256	0.5	96	10127.04551756382	532.4660099744797
Dashing1-bin	31	256	1	96	1787.281189084053	2263.5341614484787
Mash	31	4096	8	96	8239.164566636086	25727.928350925446
Bindash-8	31	4096	8	96	10291.370256900787	1760.005867600441
Bindash-4	31	4096	4	96	10233.903416514397	1765.731060743332
Bindash-2	31	4096	2	96	10430.247680783272	1764.7004154920578
Bindash-1	31	4096	1	96	10304.124522447586	1764.0271159410477
Mash	31	512	8	96	2362.1243013441563	2810.987328076735
Bindash-8	31	512	8	96	2423.662607366219	178.63362951762974
Bindash-4	31	512	4	96	2509.3224025070667	173.49839480035007
Bindash-2	31	512	2	96	2495.7791117895395	171.6760631557554
Bindash-1	31	512	1	96	2457.6757472865283	173.73233291320503
Bindash-0.5	31	512	0.5	96	2472.4455558098853	173.03829231485724
Dashing1-bin	31	512	1	96	508.74949423596263	562.0560694094747
Dashing1-txt	31	512	1	96	1030.956349344924	2987.355528058484
D2OP-bin-8	31	512	8	96	877.5920871682465	95.15144272148609
Mash	31	8192	8	96	8308.399479031563	36028.7920320034
Bindash-8	31	8192	8	96	10358.761022686958	2937.735202908516
Bindash-4	31	8192	4	96	10499.583055138588	2949.077014565468
Bindash-2	31	8192	2	96	10384.086719751358	2951.2289764881134
