# A tibble: 18 × 16
# Groups:   k, sketchsize, bin [18]
       k sketchsize   bin     n     BD1     BD8   Dash1    FSS1    FSS8  JItrue    Mash `PMH1-50000000`      SM     SS1     SS8 WJItrue
   <int>      <int> <dbl> <int>   <dbl>   <dbl>   <dbl>   <dbl>   <dbl>   <dbl>   <dbl>           <dbl>   <dbl>   <dbl>   <dbl>   <dbl>
 1    21       8192  0.85     8 0.00267 0.00238 0.00406 0.00264 0.00465 0.00246 0.00528         0.00614 0.00534 0.00296 0.00280 0.00253
 2    21       8192  0.9    117 0.0115  0.0163  0.0186  0.0102  0.0157  0.00764 0.0169          0.0265  0.0169  0.00976 0.0167  0.00832
 3    21       8192  0.95   839 0.0189  0.0247  0.0363  0.0198  0.0307  0.0205  0.0224          0.0139  0.0225  0.0260  0.0455  0.0205 
 4    21      32768  0.85     8 0.00301 0.00158 0.00328 0.00220 0.00321 0.00246 0.00343         0.00726 0.00344 0.00335 0.00270 0.00253
 5    21      32768  0.9    117 0.0109  0.0107  0.0108  0.00927 0.00975 0.00764 0.00987         0.0256  0.00988 0.00882 0.0114  0.00832
 6    21      32768  0.95   839 0.0199  0.0240  0.0284  0.0213  0.0179  0.0205  0.0214          0.0125  0.0215  0.0226  0.0210  0.0205 
 7    21     131072  0.85     8 0.00320 0.00277 0.00246 0.00235 0.00245 0.00246 0.00254         0.00744 0.00254 0.00261 0.00315 0.00253
 8    21     131072  0.9    117 0.0105  0.00952 0.00931 0.00904 0.00932 0.00764 0.00924         0.0249  0.00923 0.00888 0.00898 0.00832
 9    21     131072  0.95   839 0.0196  0.0215  0.0252  0.0214  0.0218  0.0205  0.0203          0.0128  0.0202  0.0206  0.0206  0.0205 
10    31       8192  0.85     8 0.00964 0.00992 0.0114  0.00997 0.0109  0.00868 0.0110          0.0168  0.0110  0.00800 0.00654 0.00877
11    31       8192  0.9    117 0.0345  0.0311  0.0438  0.0325  0.0342  0.0306  0.0367          0.0735  0.0367  0.0304  0.0316  0.0315 
12    31       8192  0.95   839 0.0218  0.0244  0.0329  0.0251  0.988   0.0201  0.0295          0.0193  0.0294  0.0216  0.0253  0.0209 
13    31      32768  0.85     8 0.00956 0.00934 0.00842 0.00836 0.0111  0.00868 0.00949         0.0189  0.00949 0.00945 0.00747 0.00877
14    31      32768  0.9    117 0.0353  0.0298  0.0327  0.0311  0.0338  0.0306  0.0317          0.0737  0.0317  0.0315  0.0302  0.0315 
15    31      32768  0.95   839 0.0215  0.0220  0.0268  0.0231  0.0248  0.0201  0.0237          0.0193  0.0237  0.0214  0.0217  0.0209 
16    31     131072  0.85     8 0.0102  0.00890 0.00907 0.00907 0.00907 0.00868 0.00974         0.0189  0.00972 0.00865 0.00892 0.00877
17    31     131072  0.9    117 0.0358  0.0314  0.0339  0.0315  0.0311  0.0306  0.0322          0.0728  0.0322  0.0318  0.0309  0.0315 
18    31     131072  0.95   839 0.0222  0.0209  0.0216  0.0223  0.0237  0.0201  0.0218          0.0196  0.0218  0.0222  0.0220  0.0209 
